komentar,label,timestamp,emosi
saya dengar di podcast katanya willie cari toilet di benteng kuto besak jauh tidak ketemu fakta nya dari tempat willy masak rendang cuma langkah ke toilet nya di sana ada dermaga point lengkap toilet ada ada jg kfc dan restoran lain nya,2,2025-03-22 09:59:00,marah
keliatan bener ucapan nya gak sesuai fakta,0,2025-03-20 18:08:00,sedih
jika tidak percaya cek aja di google maps dermaga point benteng kuto besak dengar podcast kata cari toilet benteng kuto besak jauh tidaetemu fakta nya tempat iy masak rendang cuma langkah toilet sanda dermaga point lengkap toilet jg restoran liat bener ucapaya gak sesuai tidak percaya cek aja ggle maps dermaga point benteng kuto,0,2025-03-20 08:50:00,marah
kota rakus balikin kota palembang dulu kota rakus balikin kota palembang dulu,0,2025-03-20 11:12:00,sedih
lebik baik bikin di papua sini banyak orang yang membutuhkan lebik baik bikin papua sini banyak orang,2,2025-03-20 11:12:00,marah
ending nya hidup palembang ending nya hidualembang,2,2025-03-25 12:27:00,marah
jangan malu malu ke warga palembang jangan arga,0,2025-03-22 05:19:00,takut
pak pol inilah yang luar biasa pak pol ini luar biasa,2,2025-03-21 12:11:00,marah
palembang kurang makanan kaya y bg will palembang kurang mak kaya y bg i,0,2025-03-22 01:45:00,sedih
hanielroza ini lu yg ambil pake wajan yah lu yg ambil pake ajan yah,1,2025-03-20 12:36:00,sedih
rzkaandini kok yo do koyongunu si kok yo do koyongunu si,0,2025-03-22 16:03:00,takut
menyeting sebuah kegagalan ting buah,1,2025-03-22 12:37:00,marah
setingan paling menyakitkan ting paling sakit,0,2025-03-20 06:19:00,marah
hidup palembang btw ini dipulau mana hidualembang bt pulau mana,1,2025-03-22 19:37:00,takut
padahal ada yg lihat dia didalam mobil makan betelponan padahal yg lihat didalaobil makan,0,2025-03-23 20:28:00,marah
caption nyo tragedi rendang hilang kerennnnn captioyo tragedi rendang hilang keren,0,2025-03-21 21:43:00,sedih
take down aja will jangan menggiring opini take don aja jangan meniring,0,2025-03-22 06:47:00,sedih
haduhhhh segitu baru makanan apalagi menjabat untuk kenegaraan hadu segitu baru mak jabat untuenegarn,0,2025-03-24 18:36:00,sedih
take down oi videonini take don oi,0,2025-03-21 05:40:00,sedih
ngapo laju cak ini yo ngapo laju cak,2,2025-03-23 11:02:00,marah
katanya ke wc tp kok ada di dalem mobil yaaa kata c tp kok di daleobil ya,0,2025-03-27 09:15:00,marah
itu emak ngapain sih nempel emak ngapain sih,0,2025-03-26 22:47:00,marah
mana tombol polisi ga bisa kondusif kan warga mana tombol polisi ga kondusif kan arga,0,2025-03-21 02:38:00,sedih
hapus aja ini postingan hapus aja,0,2025-03-21 23:50:00,takut
kenapa gak di hapus ya video nya kan ini lagi viral nih rame banget nih ini bawa satu nama daerah kenapa gak di hapus aja gak hapus video nya kan lagi viral nih rame banget nih baa satu nama gak hapus aja,0,2025-03-27 03:45:00,marah
polisinya ngapain aja polisi ngapain aja,0,2025-03-22 18:11:00,takut
kalau dianalisis dari statement isilop tersebut malah terlihat bahwa kejadian di tkp tersebut memang bukan dijarah tapi ya memang sudah direncanakan untuk di bikin ludes inilah yg luar biasa alhamdulilah ludes seketika kalau dicocokkan dengan narasi hilang ya ga masuk di statement isilopnya karena dengan penggiringan opini rendang hilang konotasi nya mengarah ke dicuri dijarah sedangkan statement isilop kalau disimpulkan arahnya lebih ke menjalankan perintah untuk di bikin ludes dengan antusiasme masyarakat,2,2025-03-27 02:41:00,marah
diperkuat dengan closing statement dari isilop tersebut dengan bilang mereka mensyukuri apa yang diberi bang willy kalau anal statement isilop sebut malah lihat baha jadi tkp sebut memang bukan memang rencana bikin ini yg luar biaslhamdulilah kalau dian ya ga masuk di statement peniringan rendang konotasi nya arah curi statement isilop kalau simpul arah lebih jalan perintah di bikin ludes dengtusiasme kuat closing statement darsilop sebut dengan mereka syukur apa beri bang,2,2025-03-26 00:54:00,sedih
aguscikronaldii komen ini yg saya cari komen yg cari,0,2025-03-22 06:06:00,sedih
namonyo makanan oy namonyo mak,2,2025-03-20 14:25:00,sedih
ahli seting menyeting ahli ting,1,2025-03-20 16:04:00,sedih
wiil baru ampar aja will l baru ampar aja i,0,2025-03-20 17:00:00,takut
kak willie saran saya video ini di take down aja demi meredam kemarahan orng palembang kak saran video di take don redam marah orng palembang,1,2025-03-22 19:41:00,takut
polisi disana kerja apa polisi sana,0,2025-03-21 23:10:00,marah
dan warga palembang akan kita dikutuk bernama willie salim dan dia akan tidak di perboleh kan masuk ke palembang palembangterkini arga palembang kita kutuk nama iie salim kan di boleh kan masue palembang,1,2025-03-20 08:02:00,marah
bundadhinii liat postingan ini liat postingan,1,2025-03-28 11:28:00,takut
take down harusnya vidionyaaaaa take don harus,0,2025-03-20 12:37:00,takut
ambil hikmahy ya sdr willie teruslah berbuat baik ambil hikmaha sdr terus buat,2,2025-03-24 07:27:00,sedih
papua saja will kita pulau jawa dan sumatra sudah sejahtera tetapi sedoara kita di papua belum tentu bisa seperti kita papua pulau jaa sumatra tetapi sedoara kita di papua tentu seperti kita,0,2025-03-27 07:36:00,sedih
sabar aja bang willisallim sabar aja bang,2,2025-03-21 03:27:00,takut
nbiel ilang neng ndi kiro kiro ilang neng ndi,0,2025-03-25 01:34:00,sedih
astagfirowlohh lebih dari papua astagfirolo lebih,0,2025-03-23 23:59:00,sedih
sabar ya ka willi pasti diganti sama yang kuasa ko niat ka wilu sabar ka ii ganti sama kuasa ko niat ka,2,2025-03-22 04:21:00,marah
klo mau minta maaf dengan tulus hapus video ini woi klo mau minta mf tulus hapus video,1,2025-03-21 16:28:00,sedih
berarti palembang jangan salahkan bang will dong arti palembang jangan salah bang i dong,1,2025-03-25 21:44:00,marah
cepat kali ilangnya seperti keadilan cepat kallangnya,0,2025-03-22 15:14:00,sedih
yg belain pasti pen dikasih iphone yg bain pen kasih iphone,0,2025-03-20 00:14:00,marah
palembang kota tercantik,2,2025-03-22 08:41:00,sedih
palembang paling bnyk artis,2,2025-03-23 17:32:00,sedih
palembang kota termaju no,2,2025-03-28 14:20:00,takut
palembang paling bnyk cewek cantik,2,2025-03-20 13:18:00,marah
palembang paling bnyk cowok ganteng,2,2025-03-22 01:27:00,takut
palembang kota termaju no di indo palembang kota cantik palembang paling bnyk artis palembang kota maju no palembang paling bnyk ceek cantik palembang paling bnyk cook ganteng palembang kota maju no,2,2025-03-22 00:02:00,marah
kapan di hapus nya kapan hapus nya,0,2025-03-20 00:19:00,marah
gk becus polisi nya jaga gk becus polisi nya,0,2025-03-27 15:48:00,sedih
selama ini tidak dihapus maka permintaan maafnya batal lama tidak hapus permintn mfnya,0,2025-03-21 21:25:00,takut
papua lebi mem butukan ka wili papua lebi mem butukan ka ili,0,2025-03-25 12:34:00,marah
lain kali masak pempek be biar cepet masak kali masak pempek be biar cepet masak,1,2025-03-28 18:54:00,sedih
banyak yg bilang jawa hama padahal masih banyak pulau yg hama cuma belum ketauan aja awok awok banyak yg bilang jaa hama padahal banyak pulau yg hama cuma tau ajok,0,2025-03-20 00:54:00,takut
willi sangat menyakit kan hati orang palembang ii sangat sakit kan hati orang,0,2025-03-25 05:44:00,marah
palembang core palembang core,2,2025-03-21 09:43:00,sedih
wajar bae rendang nyo ilang wong itu rendang dimasak pke api kecik yo mano mateng mateng lah ajar bae rendang nyo ilang ong rendang masak pke api kecik yo mano lah,2,2025-03-27 04:43:00,sedih
ya ampuun bisaa hilang gak sabaran bener bulan puasaa mah ympn bis hilanak sabar bener bulan puas,2,2025-03-21 05:07:00,marah
hidih masih gak ditake down udah dia yg bikin acara gak ada konseo dadakan demi cuan memperburuh masyarakat lain hidih gak ditake udah yg bikin acara gak konseo cuan buruh masyarakat,0,2025-03-24 15:52:00,marah
kalimat willi ini aku tinggal sebentar ke toilet tiba tiba ilang padahal willi bukan ke toilet tapi ke mobil dan bulan sebentar tapi hampir menit kalimat ii aku tal sebentar toileiba tiba padahal ii bukan toileapi mobil bulan sebentar hampir,0,2025-03-21 09:05:00,marah
oohh saya pikir palembang rakyatnya makmur pikir palembang rakyat,2,2025-03-27 15:23:00,sedih
aku lebih suka dengan papua aku lebih suka,2,2025-03-22 19:46:00,marah
ga di take down video nya mungkin lumayan jadi trending ga take don video nya mungkin lumayan jadi trending,2,2025-03-20 18:34:00,marah
pak pol jg hebat akting nya pak pol jg hebat akting nya,2,2025-03-22 05:15:00,marah
orang palembang suka daging mentah juga ya orang palembang suka daging mentah,2,2025-03-26 17:20:00,takut
mawak tai bangso aku kmrn ke bkb maak tai bangso aku kmrn,0,2025-03-22 07:43:00,takut
tetap semangat ka willie untuk berbuat baik semoga kaka dan keluarga sehat selalu di lindungi setiap saat tetap semangat ka buat baik moga keluarga sehat selalu lindung,2,2025-03-22 06:21:00,takut
dapatt dijayapuraa kaka wil masak kuali sdh dapa dijayapur il masak kuali sdh,1,2025-03-22 15:51:00,takut
hapus video ini hapus video,0,2025-03-20 01:27:00,sedih
ampunn nyari kesempatann ampu nyari,0,2025-03-21 10:22:00,takut
wil wil sini maen kamu kesini biar dewasa dikit sini maen kamu kesini biar deasa dikit,2,2025-03-25 15:04:00,sedih
wilie ini malah di ungkit trus apa maksud nya ini ilie malah ungkirus apa maksud nya,0,2025-03-20 03:09:00,marah
masih di pertahanin ini video ga di take down tahan video ga di take don,0,2025-03-22 01:24:00,sedih
kek gak pernah makan daging kek gak pernah makan,0,2025-03-23 07:44:00,marah
lalai skali udah tau banyak orang berkerumunan disitu lu malah ninggalin begitu saja i skali udah tau banyak orang kerumun situ lu malah ninalin,0,2025-03-22 13:26:00,takut
kasih lebih untuk saudara kita papua broo kasih lebih saudara papua br,1,2025-03-27 19:53:00,takut
mlah d laporin wili salim mlah d laporin ili salim,1,2025-03-25 08:38:00,takut
papua yang lebih membutuhkan lebih beradab papua lebih butuh lebih,0,2025-03-21 17:20:00,takut
palembang kera kelaparan palembang kera,0,2025-03-22 00:31:00,marah
moga sukses selalu ya willie dan bisa ketemu sama kk willie moga suklalu iie bisa ketemu sama,2,2025-03-20 20:45:00,marah
pada rakus kayak orang gk pernah makan rendang saja ajib rakus kayak orank pernah makan rendang,0,2025-03-22 18:31:00,marah
hayang emam lapar can emam ti orok hayang emam lapar can emam ti,1,2025-03-20 07:53:00,sedih
sabar kak wilie sabar kak,2,2025-03-20 16:17:00,marah
halah bilanya mau ke toilet tapi ko ke mobil halah bila mau toileapi ko,0,2025-03-24 13:50:00,takut
willy si tukang cari sensasi siapa juga yang mau rendang belum masakk iy si tukang cari sensasi siapa yang mau rendang,0,2025-03-20 02:06:00,sedih
warga palembang malu maluin palembang aja saya dari palembang arga palembang in palembang aja dari,1,2025-03-25 12:43:00,sedih
kenapa blm di hapus video inj blm hapus video,1,2025-03-22 14:37:00,sedih
saran ku ka will kalau mau ngadain acara besar an gini jangan di tinggal apa lagi katanya ke toilet eh mala ke mobil dengan istirahat nah itu kamu ga ada kan di tempat rendangnya kayak di biarkan gitu aja kyk ngga tanggung jawab kalau capek dari pagi atau ga enak badan mending istirahat dulu dirumah baru kalau sudah fit sehat kan enak kamu bisa stand by terus dimasak an mu biar ga terjadi yang tidak di inginkan juga ini hanya saran aja sihh saran ku ka i kalau mau ngadain acara besar an gin jangan tal apa kata toilet eh mala mobil istirahat nah kamu gda kan tempat rendang kayak biar gitu aja kyk na tanung jaab kalau capek pagi ga enak badan mending istirahat dulu rumah baru kalau fit sehat kan enaamu stand by terus masak an mu biar ga jadi tidak dnginkan ini saran aja,0,2025-03-26 18:00:00,sedih
emang agak laen jawaban mereka itu rendang blm masak kami terima polisinya pun membela diri emang laen jaaban itu rendang blasaami terima polisi bela,0,2025-03-22 06:22:00,marah
will ke papua aj di sanah masih banyak yg kelaparan tp mereka beradab dan tertib i papuj sanah banyak yg lapar tp adab,0,2025-03-21 13:56:00,sedih
woi hapus gak oi hapus gak,0,2025-03-22 17:47:00,takut
kayaknya ini gimmick kan aslinya pasti udah matang dan dibagiin cuma mgkn dibkin narasi begitu jadi ambigu kayak giican asli udah matang dibagn cuma mgkn dibkiarasi jadi,0,2025-03-22 03:39:00,sedih
di tunggu video saat masakan nya di ambil tim crew polisi mengatur warga agar ga buru ambil tunu video st masakaya ambil tim cre polisi atur arggar ga buru,1,2025-03-21 01:23:00,sedih
besok kalo mo bagi ke yang lebih membutuhkan aja besok kalo mo bagi yang lebih butuh,1,2025-03-25 00:04:00,marah
coba di papua coba papua,1,2025-03-26 14:26:00,sedih
masyaallah sukses selalu willy masyah suklalu,2,2025-03-21 07:36:00,takut
hapus aja wil video ini niat baik insya allah bernilai kebaikan jangan berhenti menjadi baik hapus aja il video niat baik insyah nila jangan henti jadi,2,2025-03-20 21:41:00,sedih
njir event satunya bagi rendang nya dipagerin njir event satu rendang nya,2,2025-03-26 01:50:00,takut
nahhh ini bukti salah siapa ini bukan setingan ada polisi kenapa polisi dak di laporkan salah bukan kenapa polisi dak,0,2025-03-22 21:51:00,marah
keliatan bgt tuh settingannya liat bguh,0,2025-03-24 22:51:00,marah
tolonggg rendang hilanggg rendang hilang,0,2025-03-25 00:34:00,takut
kk willi viral di palembang tersebar vidio kk willi ii viral palembang sebar vidio ii,1,2025-03-22 12:16:00,takut
biasa barang gratis memang dijarah tapi warga palembang g trima tersinggung biasa jarah arga palemban,0,2025-03-26 10:44:00,sedih
tapi alhamdulilah gimana alhamdulilah gimana,2,2025-03-21 01:09:00,marah
katanya mau d hapus tp kok msh ada kata mau d hapus tp kok msh,1,2025-03-22 02:30:00,takut
syukur alhamdulillah rezeki nya suda sampai yang penting gak d buang syukur alhamduliah rezeki nya suda pentinak d,2,2025-03-20 10:41:00,marah
ustad derry bilang katanya sudah dihapus nah ini belum dihapus ustaey bilang kata nah belum hapus,1,2025-03-22 12:13:00,sedih
diminta ustad derrysulaiman dihapus willie minta ustad hapus,1,2025-03-28 22:03:00,takut
daerah bandit dulu proyek ampera sini tempat copet kliaran skrg wisata tp tetap area bandit krn sepi aselinya klo tk ada acara daerah bandit dulu proyek ampera sini tempat copet kliaran skrg isata tp tetap area bandit krn sepi aselinya klo tk,2,2025-03-20 17:04:00,takut
lol end your drama lol end your drama,0,2025-03-23 12:02:00,takut
yaampun makanan lo ympun mak,0,2025-03-21 17:52:00,marah
belum d takedown jugo d takedon,0,2025-03-26 15:38:00,takut
jadi ngk heran jadi ngk,0,2025-03-21 01:05:00,sedih
kenspa belum dihapus kstanya sdh dihapus kenspa hapus kstanya sdh hapus,1,2025-03-20 17:27:00,sedih
pak polisi sndri lho yg bilang saya sudah arahkan orangnya gak mau dengerr pak polisi sndri lho yg sudah arah orang gak mau,0,2025-03-22 15:04:00,takut
kasian kk wili kasi ili,1,2025-03-22 04:45:00,marah
ikhlaskan saja koh semoga berkah rendang itu ikhlas koh moga berkah rendang,2,2025-03-20 05:40:00,takut
lu keren bang wili lu keren bang,2,2025-03-20 12:34:00,marah
wong palembang ni bos ong palembang ni,1,2025-03-21 13:23:00,sedih
sabar ya kqk sabar kqk,2,2025-03-20 02:01:00,takut
kuali raksasa bersih kuali rak bersih,2,2025-03-20 18:59:00,sedih
mama awet muda aet muda,2,2025-03-27 00:33:00,marah
gamasuk logika blm semenit abis kocak gamasuk logika blm menit abis,0,2025-03-21 00:19:00,marah
semoga sukses selalu ka willy moga suklalu ka,2,2025-03-24 01:05:00,takut
sabar ya ka willieee perbuatan baik itu pasti ada aja rintangan nya sabar ka iie buat baik pasti adja,2,2025-03-22 02:46:00,sedih
well well well e e e,0,2025-03-28 19:43:00,marah
namanya rakus nama rakus,0,2025-03-26 14:39:00,takut
ngaku sdah minta maaf tapi video ini masih ada ngaku sdah minta mf video masih,0,2025-03-21 01:05:00,takut
nah willie salem wajah orang palembang asli heltinurrahma nah iie salem ajah orang palembang asli,1,2025-03-21 08:06:00,sedih
palembang gak menerima fakta palembanak terima,0,2025-03-27 05:55:00,sedih
akhirnya wili bisa napas bisa tidur wkwkwk akhir ili napas tidur,1,2025-03-21 04:59:00,sedih
salah nya ws di mana yg bilang hilang polisi salah nya s mana yg bilang hilang,0,2025-03-20 12:22:00,sedih
semangat aja kak semangat aja kak,2,2025-03-20 06:49:00,marah
terus semangat ka wili teruemangat ka ili,2,2025-03-26 06:58:00,sedih
mau ny warga palembang t d edit hbs gays rendangnya acara berjalan lancar tapikan willi mau videoi dy bagi rendang sudah matang eh pak polisi nambahi pale ember mau ny arga palembang t d edit hbs gays rendangnycara tapi ii mau video dy rendang eh pak polisi nambahi,0,2025-03-24 07:58:00,sedih
palembang krisis daging rendang palembang kr daging rendang,1,2025-03-23 22:31:00,marah
ekonomi indonesia baik aaja ekonomndonesia baik,2,2025-03-24 08:08:00,marah
innallaha ma ashobirin sesungguhnya allah bersama dengan orang yg sabar semangat terus kak willie iaaha ma sesunuhnyah sama orang yg semangaerus kak,2,2025-03-27 05:24:00,marah
mungkin alangkah baiknya kata hilang diganti dengan kata habis mungkin alangkah baik kata hilang ganti kata,1,2025-03-21 10:27:00,marah
apo yang alhamdulillah apo alhamduliah,2,2025-03-26 17:21:00,marah
down donk willy video ini take don donk iy video,1,2025-03-21 09:18:00,takut
kenapa ga di hapus aja sih ko ga hapus aja sih,0,2025-03-24 21:38:00,marah
kalian sibuk nyalahin willy padahal disitu pak pol ny yg memperjelas memperkeruh keadaan kalian sibuk nyalahin iy padahal situ pak pol ng jelas keruh,0,2025-03-23 23:25:00,marah
hidup palembang musnahkan palembang hidualembang musnah palembang,1,2025-03-22 17:02:00,sedih
lebaran masih lama juga lebaran lama juga,0,2025-03-20 03:24:00,marah
videonya tentu ada karena kru pasti shoting situasi masa semua pada pi toilet semua di situ ada polisi kok bisa terjadi atau memang ada rencana yg di inginkan video kru shoting masa semua pi toilet situ kok atau memang ada rencana yg,0,2025-03-20 11:54:00,marah
siapa yang makan siapa makan,0,2025-03-20 20:02:00,takut
haus validasi lu will udah jelas salah masih tetep blm di hapus ini postingan haus validasi lu i udah jelaalah p blm hapus postingan,0,2025-03-22 16:44:00,marah
semangat ka willy tetap jadi orang baik semangat ka iy tetap jadi orang,2,2025-03-21 18:22:00,takut
siapa si itu ema ema deket deket sama wiliie siapa stu sama,1,2025-03-21 12:53:00,marah
hidup rendang hidup rendang,1,2025-03-22 01:13:00,takut
palembang ni bos denggol donk palembang ni bos denol,1,2025-03-21 14:02:00,takut
prindapan orng palembang prindapan orng palembang,1,2025-03-21 16:33:00,takut
se gragas itu ya palembang se gragas ya palembang,1,2025-03-22 21:20:00,takut
luar biasa luar biasa,2,2025-03-21 06:25:00,takut
tingglah ko ilang lah ko,0,2025-03-20 10:13:00,sedih
polisi aja jaga rendang aja susah apalagi jaga indonesia polisi aga rendang aja susah jaga indonesia,0,2025-03-22 04:09:00,takut
belum di persilahkan kok habis di silah kok habis,1,2025-03-20 09:48:00,marah
video nunjukkan kualinya kosong mana yg lainnya video nunjuan kuali mana yg,0,2025-03-22 20:16:00,sedih
polisi gk sampe org sedangkan warga ribuan yang hadir maklum gk ketahan balik lagi ke diri sendiri kalo bukan karna warga yg gk sabaran ini gk akan kejadian palembang gk akan kesorot oleh beberapa kota di indonesia polisi gk sampe org arga ribu hadir maklum getah balik ke diri sendiri kalo bukan karna arga yk sabar gk jadi palembank sorot rapa kota,0,2025-03-26 16:08:00,sedih
gara apa ini kak wiliesalim apa kak,0,2025-03-22 16:38:00,takut
wkwk orang setelah willie membuktikan kerakusan mereka wkwke orang iie bukti rakus,0,2025-03-20 05:58:00,marah
bocah bgt ni bocah bgt,0,2025-03-22 13:57:00,sedih
bismillah dapet thr dari kaka buat beli baju lebaran ka saya udah lama follow kaka sampe aku belum pernah dapet tapi bismillah dapet amin allah bismiah dapehr buat beli baju lebaran ka udah lama foo sampe aku pernah dapeapi bismiah dapet amin,2,2025-03-20 12:15:00,takut
astagfirullah kasian banget warga disana ya belum mateng aja sampai ludes mgkn karna takut enggak kebagian atau perkiraan mereka ntar kalau dibagi dpt dikit kasi banget arga sana beluateng aja ludes mgkn karna takut enaebagian perkirn ntar kalau bagi dpt dikit,0,2025-03-23 15:06:00,sedih
orang papua ketawa melihat ini orang papua ketaa lihat,0,2025-03-21 12:47:00,sedih
ga usah nyalahin orang palembang doang di daerah lain juga kalo ada event serupa belom tentu tertib ga usah nyalahin orang palembang doang daerah juga kalo event rupa bom,0,2025-03-22 12:19:00,marah
membara willi bara ii,1,2025-03-20 08:12:00,marah
rendang hilang kutukan pun datang rendang hilang kutu datang,2,2025-03-21 21:59:00,sedih
semangat kak wili semangat kak,2,2025-03-20 22:31:00,takut
willie lo gk bisa ngomong apa apa lgi krn udh ada bukti kuat iie lo gk ngomong lgi krn udh bukti,0,2025-03-26 03:56:00,takut
https www instagram com reel dhnanjppdpq igsh ntc mtiwnjq yq tuh liat bukti dri video itu hps com rl dhnanjdpq igsh ntcmtinjqyq tuh liat bukti dri video,1,2025-03-22 05:19:00,takut
kak willie kenapa ilang rendang nya kak iie ilang rendang,1,2025-03-26 13:11:00,takut
apasih ibunya deket deket sama willisalim apasih ibu deket deket sama,2,2025-03-21 20:20:00,marah
waduh pasti ada yang tidak kebagian itu aduh ada tidaebagian,0,2025-03-20 21:30:00,marah
sabar yg hilang itu bukan rendang dan hilangin bukan warga tp makhluk kasat mata sabar yg hilang bukan rendang hilangin bukan arga tp makhluasat mata,0,2025-03-21 16:44:00,takut
alahh drama rekk ala drama re,0,2025-03-22 11:39:00,marah
terima kasih richard lee sudah mengkonfirmasi palembang terima kasih richard l konfirmasi palembang,1,2025-03-21 02:52:00,sedih
si wili mah alus niat benar berbuat baik cuman warganya yg kurang dewasa dan polisinya kurang banyak penjagaannya si ili mah alus niat benar buat baik cuman arganya yg kurang deasa polisi kurang banyak penjagya,0,2025-03-27 20:36:00,takut
yah sudah ini yang mau diproses yah ini mau,0,2025-03-24 07:17:00,marah
kok gk dhps ini kok gk dhps,0,2025-03-21 12:45:00,takut
dianna kata dia menghina org palembang kan semua org masak dan jaga juga bilang gak bs di handle diaa kata hina org palembang kan semua org masak jaga bilanak bs,0,2025-03-21 11:38:00,sedih
setelah di pantau masih ada aja ni video di pantau adja ni,1,2025-03-20 22:54:00,takut
koq msh di bahas aja bosen ahh koq msh bahas,0,2025-03-21 13:01:00,takut
bercandanya serius teuing koh canda serius teuing koh,2,2025-03-20 18:52:00,sedih
garo garo kau palembang dihina kau palembang,0,2025-03-23 07:02:00,sedih
ibu itu ngapain si situ prett ibu ngapain tu pre,0,2025-03-22 07:18:00,takut
kalau itu mah yang salah warga lah orang udah di kasih tahu jangan dulu tapi tetap aja pada ambil astaghfirullah kalau mah salah arga lah orang udah kasih tahu jangan dulu tetap aja padmbil,0,2025-03-22 22:06:00,takut
banyumas lebih membutuhkan wil banyumas lebih butuh,1,2025-03-26 14:38:00,takut
kalo gk mau hilang rendang gk usah ke daerah kami palembang orang nya baik dan bersih orang palembang makan be lagi bersih dk katek sisoh jangan nk ngatoke wong palembang kalo gk mau hilang rendank usah daerah palembang orang nya baik bersih orang palembang makan be bersih datek sisoh jangak ngatoke ong,2,2025-03-25 18:03:00,marah
tolong cari pelakunya sekarang cari laku sekarang,0,2025-03-24 03:31:00,takut
gak antrian lagi gak antri lagi,2,2025-03-28 22:11:00,takut
emang gk guna baju coklat itu emank baju coklat,0,2025-03-27 14:36:00,marah
ms pcy sama polisi indonesia lbh pcy perampok drpd polisi di indonesia ms pcy sama polisndonesia lbh pcy rampok drpd polisi dndonesia,0,2025-03-22 03:19:00,marah
intinya gini kan wili salim gak mempersalahkan palembang cuman followers bg wili ini gak terima jadi jgan salah kan bg wili lah bg niat dia baik mau berbagi inti gin kan ili salim gak salah palembang cuman fooers bg ilni gak terima jadi jgan salah kan bg ili lah bg niat baik mau,0,2025-03-22 02:01:00,takut
kasian kak willie dihujat terus kasi kak iie,0,2025-03-24 09:05:00,takut
bang wilie ke bangka dong tempat wilie dulu lahir bang ilie bangka dong tempat ilie dulu lahir,1,2025-03-22 03:37:00,marah
palembang hama palembang hama,2,2025-03-28 08:48:00,sedih
jagain rendang aja ga bisa apa lagi jagain masyarakat jagain rendang aja ga bispa jagain,0,2025-03-20 19:28:00,sedih
padahal polri nya tidur padahal polri nya,0,2025-03-20 01:53:00,sedih
makanya bisa sakit perut orang palembang yang salah makanya bikit perut orang palembang,0,2025-03-22 06:06:00,sedih
itu emak yang nempel itu siapa emak nempel siapa,0,2025-03-22 00:39:00,takut
kucing tuh yg makan kucing tuh yg,0,2025-03-22 11:20:00,sedih
berarti polisi gk kuat arti polisi,0,2025-03-22 15:47:00,takut
padahal udah di kasih kesempatan sama dr ricard endingnya perebutan lagi malah ngomong kurang lagi padahal udah kasih sempat sama dicard endingnya rebut malah ngomong kurang lagi,0,2025-03-22 20:36:00,takut
mungkin dipanasin lagi dirumah mungkin dipanasin,0,2025-03-22 23:49:00,sedih
terimakasih kepada dr richard lee atas konfirmasinya terimakasih atas,1,2025-03-20 09:24:00,sedih
saya juga orang palembang tapi tidak tahu menahu tentang ituu saya di rumah bukan di bkb juga orang tahu nahu rumah bukan di,0,2025-03-25 19:40:00,sedih
itu polisi gunanya apaan disitu polisi gunanypn situ,0,2025-03-21 10:33:00,marah
buat rendang wong ini pancung jadikan rendang willie buat rendang ong pancung jadi rendang,1,2025-03-22 05:58:00,sedih
palembang pride palembang pride,2,2025-03-21 11:28:00,sedih
anjaniazalia salah satunya salah satu,1,2025-03-26 14:01:00,takut
kenapa ga di hapus aja vidionya oh iya biar makin banyak view terus banjir adsen ga hapus aja vidionya iya biar makin banyak vie terus banjir,0,2025-03-21 16:42:00,marah
coba tanya sama polisi distu ada setingan atau ada tim willi yg nyuruh apa ga coba tanyakan polisi itu biar clear masalahnya coba tanya sama polisi distu ting ada tim ii yg nyuruh apa coba tanya polistu biar clear,1,2025-03-28 16:55:00,sedih
